date,TICKER,PERMNO,COMNAM,SHRCLS,NAMEENDT,RET,VOL_CHANGE,BA_SPREAD,ILLIQUIDITY,sprtrn,TURNOVER,PRC,SHROUT,MARKET_CAP,TRAN_COST,ASK,BID
2007-12-07,ESS,80681,ESSEX PROPERTY TRUST INC,,,-0.005095,0.3375576036866359,0.002560698027314,-2.0810215410031902e-10,-0.001778,9.220505896835167,105.44,25183.0,2655295.52,0.134999999999998,105.72,105.45
2007-12-10,ESS,80681,ESSEX PROPERTY TRUST INC,,,0.016028,-0.3540051679586563,0.0029870251096797,9.974174678739224e-10,0.00751,5.956399158162252,107.13,25183.0,2697854.79,0.1599999999999966,107.47,107.15
2007-12-11,ESS,80681,ESSEX PROPERTY TRUST INC,,,-0.05274,1.1293333333333333,0.0020693732755222,-1.627139376674189e-09,-0.025271,12.683159274113487,101.48,25183.0,2555570.8400000003,0.1049999999999968,101.74,101.53
2007-12-12,ESS,80681,ESSEX PROPERTY TRUST INC,,,-0.00808,0.1778334376956793,0.003079674150606,-2.1337112326058962e-10,0.00605,14.938649088670928,100.66,25183.0,2534920.78,0.1550000000000011,101.01,100.7
2007-12-13,ESS,80681,ESSEX PROPERTY TRUST INC,,,-0.007054,-0.1366294524189261,0.0040020010005001,-2.1728844717925464e-10,0.001224,12.897589643807333,99.95,25183.0,2517040.85,0.1999999999999957,99.85,99.45
2007-12-14,ESS,80681,ESSEX PROPERTY TRUST INC,,,-0.014507,0.2540024630541873,0.0010152284263958,-3.6159879159651086e-10,-0.013746,16.173609180796568,98.5,25183.0,2480525.5,0.0499999999999971,98.61,98.51
2007-12-17,ESS,80681,ESSEX PROPERTY TRUST INC,,,-0.017868,0.1377363123005155,0.0021707670043416,-3.9857846593064226e-10,-0.015021,18.40130246594925,96.74,25183.0,2436203.42,0.1050000000000039,97.09,96.88
2007-12-18,ESS,80681,ESSEX PROPERTY TRUST INC,,,0.013852,0.3027621924902892,0.0054037520391517,2.3394342825009776e-10,0.00628,23.97252114521701,98.08,25183.0,2469948.64,0.2650000000000005,98.75,98.22
2007-12-19,ESS,80681,ESSEX PROPERTY TRUST INC,,,0.009686,-0.3973828060294848,0.0021205695243864,2.688530643892264e-10,-0.001361,14.446253424929516,99.03,25183.0,2493872.49,0.1049999999999968,99.3,99.09
2007-12-20,ESS,80681,ESSEX PROPERTY TRUST INC,,,-0.007674,-0.5805387575590983,0.0022387300295105,-5.117363948070959e-10,0.0049,6.059643410237065,98.27,25183.0,2474733.41,0.1099999999999994,98.06,97.84
2007-12-21,ESS,80681,ESSEX PROPERTY TRUST INC,,,0.001832,0.6657929226736565,0.0003047232097511,7.320389722844132e-11,0.01667,10.094111106698964,98.45,25183.0,2479266.35,0.0150000000000005,98.45,98.42
2007-12-24,ESS,80681,ESSEX PROPERTY TRUST INC,,,0.033621,-0.7171518489378442,0.0014740566037736,4.595202325032146e-09,0.008077,2.855100663145773,101.76,25183.0,2562622.08,0.0750000000000028,101.76,101.61
2007-12-26,ESS,80681,ESSEX PROPERTY TRUST INC,,,-0.024371,1.2628650904033378,0.0014234875444839,-1.523040431408342e-09,0.000809,6.460707620219989,98.35,25183.0,2476748.05,0.0700000000000002,98.7,98.56
2007-12-27,ESS,80681,ESSEX PROPERTY TRUST INC,,,-0.009659,0.0430239704978487,0.0050308008213551,-5.843746483406518e-10,-0.014216,6.738672914267561,97.4,25183.0,2452824.2,0.2449999999999974,97.82,97.33
2007-12-28,ESS,80681,ESSEX PROPERTY TRUST INC,,,-0.02115,0.3364761343547437,0.0066079295154186,-9.781200781830108e-10,0.001436,9.006075527141325,95.34,25183.0,2400947.22,0.3150000000000048,95.9,95.27
2007-12-31,ESS,80681,ESSEX PROPERTY TRUST INC,,,0.022551,-0.0105820105820105,0.0026669401989948,1.0308201087949236e-09,-0.006852,8.91077314061073,97.49,25183.0,2455090.67,0.1300000000000025,97.47,97.21
