date,TICKER,PERMNO,COMNAM,SHRCLS,NAMEENDT,RET,VOL_CHANGE,BA_SPREAD,ILLIQUIDITY,sprtrn,TURNOVER,PRC,SHROUT,MARKET_CAP,TRAN_COST,ASK,BID
2007-12-07,REG,79782,REGENCY CENTERS CORP,,,-0.00904,0.0346340337104595,0.001882421083116,-2.921237806013393e-10,-0.001778,6.436831142713496,69.06,69615.0,4807611.9,0.0649999999999977,69.06,68.93
2007-12-10,REG,79782,REGENCY CENTERS CORP,,,0.025775,-0.2704753403258201,0.0008469791078487,1.113025721668173e-09,0.00751,4.695827048768225,70.84,69615.0,4931526.600000001,0.0300000000000011,70.84,70.78
2007-12-11,REG,79782,REGENCY CENTERS CORP,,,-0.04729,1.1501988375650043,0.000148170099274,-9.968649871483675e-10,-0.025271,10.096961861667744,67.49,69615.0,4698316.35,0.0050000000000025,67.5,67.49
2007-12-12,REG,79782,REGENCY CENTERS CORP,,,-0.014669,-0.2585004979371176,0.0013533834586464,-4.2322806248160686e-10,0.00605,7.486892192774546,66.5,69615.0,4629397.5,0.0449999999999946,66.71,66.62
2007-12-13,REG,79782,REGENCY CENTERS CORP,,,-0.012331,0.1084036838066002,0.0016747868453105,-3.249846033569636e-10,0.001224,8.298498886734182,65.68,69615.0,4572313.2,0.0549999999999997,65.76,65.65
2007-12-14,REG,79782,REGENCY CENTERS CORP,,,-0.0338,0.1287865674225377,0.0007878978884337,-8.167749924569136e-10,-0.013746,9.367234073116428,63.46,69615.0,4417767.9,0.0250000000000021,63.52,63.47
2007-12-17,REG,79782,REGENCY CENTERS CORP,,,-0.01954,-0.0239227112406072,0.001607200257152,-4.933965911194168e-10,-0.015021,9.143144437262084,62.22,69615.0,4331445.3,0.0500000000000007,62.45,62.35
2007-12-18,REG,79782,REGENCY CENTERS CORP,,,0.00659,0.2999214454045562,0.0015966789078716,1.271708243035294e-10,0.00628,11.885369532428356,62.63,69615.0,4359987.45,0.0500000000000007,62.88,62.78
2007-12-19,REG,79782,REGENCY CENTERS CORP,,,0.022034,-0.3935218757553783,0.002655835025777,6.859853815437988e-10,-0.001361,7.208216619981326,64.01,69615.0,4456056.15,0.0849999999999937,64.21,64.04
2007-12-20,REG,79782,REGENCY CENTERS CORP,,,0.010311,-0.1464726982861698,0.0007731560228853,3.722629816470488e-10,0.0049,6.152409681821447,64.67,69615.0,4502002.05,0.0249999999999985,64.58,64.53
2007-12-21,REG,79782,REGENCY CENTERS CORP,,,0.019947,0.2857809946299323,0.0006064281382657,5.491384635002829e-10,0.01667,7.910651440063205,65.96,69615.0,4591805.399999999,0.0200000000000031,65.87,65.83
2007-12-24,REG,79782,REGENCY CENTERS CORP,,,0.031989,-0.7604866533502814,0.0064639341853973,3.562871160257029e-09,0.008077,1.8947066005889532,68.07,69615.0,4738693.05,0.2199999999999988,68.2,67.76
