date,TICKER,PERMNO,COMNAM,SHRCLS,NAMEENDT,RET,VOL_CHANGE,BA_SPREAD,ILLIQUIDITY,sprtrn,TURNOVER,PRC,SHROUT,MARKET_CAP,TRAN_COST,ASK,BID
2007-12-07,CAG,56274,CONAGRA INC,,,-0.000386,-0.5831950732544079,0.0007716049382715,-5.023605218135871e-12,-0.001778,6.083878051533591,25.92,487255.0,12629649.6,0.0099999999999997,25.9,25.88
2007-12-10,CAG,56274,CONAGRA INC,,,-0.004244,-0.2964849547969235,0.0003874467260752,-7.884554809220805e-11,0.00751,4.280099742434659,25.81,487255.0,12576051.55,0.0050000000000007,25.8,25.79
2007-12-11,CAG,56274,CONAGRA INC,,,-0.01976,0.5544473747302805,0.001185770750988,-2.4092407550872656e-10,-0.025271,6.653189808211306,25.3,487255.0,12327551.5,0.0149999999999987,25.29,25.26
2007-12-12,CAG,56274,CONAGRA INC,,,-0.006719,0.1755506200259116,0.0003979307600478,-7.015919538064089e-11,0.00605,7.8211614041928765,25.13,487255.0,12244718.15,0.0050000000000007,25.16,25.15
2007-12-13,CAG,56274,CONAGRA INC,,,0.008755,-0.1657876092261671,0.0003944773175543,1.0863605785245436e-10,0.001224,6.524509753619768,25.35,487255.0,12351914.25,0.0050000000000007,25.37,25.36
2007-12-14,CAG,56274,CONAGRA INC,,,-0.007495,-0.2102796388915101,0.0011923688394275,-1.1865429846132838e-10,-0.013746,5.152538198684467,25.16,487255.0,12259335.8,0.0149999999999987,25.15,25.12
2007-12-17,CAG,56274,CONAGRA INC,,,-0.02663,0.4124512068828168,0.0004083299305839,-3.0664183332251126e-10,-0.015021,7.277708797241691,24.49,487255.0,11932874.95,0.0050000000000007,24.53,24.52
2007-12-18,CAG,56274,CONAGRA INC,,,0.003267,-0.177011364597727,0.0004070004070003,4.5561620397146706e-11,0.00628,5.989471631897056,24.57,487255.0,11971855.35,0.004999999999999,24.54,24.53
2007-12-19,CAG,56274,CONAGRA INC,,,0.008954,0.0140487938596491,0.0008067769261798,1.2204974989888028e-10,-0.001361,6.073616484181794,24.79,487255.0,12079051.45,0.0099999999999997,24.75,24.73
2007-12-20,CAG,56274,CONAGRA INC,,,-0.028641,1.417686017435967,0.002906976744186,-1.6623716599859148e-10,0.0049,14.68409764907492,24.08,487255.0,11733100.4,0.0350000000000001,24.07,24.0
2007-12-21,CAG,56274,CONAGRA INC,,,0.002492,-0.2433856517910803,0.0008285004142501,1.9069206911531505e-11,0.01667,11.110198971790952,24.14,487255.0,11762335.7,0.0099999999999997,24.14,24.12
2007-12-24,CAG,56274,CONAGRA INC,,,0.008285,-0.7990763831162834,0.0024650780608052,3.1294124810412746e-10,0.008077,2.2323013617099874,24.34,487255.0,11859786.7,0.0299999999999993,24.34,24.28
2007-12-26,CAG,56274,CONAGRA INC,,,-0.011093,0.9132113634274156,0.0008309098462816,-2.2146282856325464e-10,0.000809,4.270864331818042,24.07,487255.0,11728227.85,0.0099999999999997,24.11,24.09
2007-12-27,CAG,56274,CONAGRA INC,,,-0.009971,0.1114368092263335,0.000419639110365,-1.8090801891349707e-10,-0.014216,4.746795825594401,23.83,487255.0,11611286.65,0.004999999999999,23.86,23.85
2007-12-28,CAG,56274,CONAGRA INC,,,0.005875,-0.1751480824938389,0.0004171881518565,1.2847155845250355e-10,0.001436,3.915403638751783,23.97,487255.0,11679502.35,0.0050000000000007,23.94,23.93
2007-12-31,CAG,56274,CONAGRA INC,,,-0.007509,-0.0823985742740329,0.0029424127784783,-1.803020805405e-10,-0.006852,3.592779961211276,23.79,487255.0,11591796.45,0.0350000000000001,23.82,23.75
2008-01-02,CAG,56274,CONAGRA INC,,,-0.021438,0.8457671655432424,0.0034364261168384,-2.8499513761444473e-10,-0.014438,6.631435285425496,23.28,487255.0,11343296.4,0.0399999999999991,23.34,23.26
