date,TICKER,PERMNO,COMNAM,SHRCLS,NAMEENDT,RET,VOL_CHANGE,BA_SPREAD,ILLIQUIDITY,sprtrn,TURNOVER,PRC,SHROUT,MARKET_CAP,TRAN_COST,ASK,BID
2007-12-07,DVA,82307,DAVITA INC,,,-0.000327,-0.5849594582553684,0.0001636393388971,-1.1487776689425111e-11,-0.001778,4.365510777881912,61.11,106700.0,6520437.0,0.0050000000000025,61.06,61.05
2007-12-10,DVA,82307,DAVITA INC,,,-0.026346,2.151567196221554,0.0010084033613445,-3.0162800815148945e-10,0.00751,13.758200562324271,59.5,106700.0,6348650.0,0.0300000000000011,59.59,59.53
2007-12-11,DVA,82307,DAVITA INC,,,-0.032941,0.8767029972752043,0.0005213764337852,-2.0779989238134348e-10,-0.025271,25.820056232427365,57.54,106700.0,6139518.0,0.0150000000000005,57.67,57.64
2007-12-12,DVA,82307,DAVITA INC,,,-0.010775,-0.6018874773139746,0.0001756851721714,-1.725937026028059e-10,0.00605,10.279287722586693,56.92,106700.0,6073364.0,0.004999999999999,56.85,56.84
2007-12-13,DVA,82307,DAVITA INC,,,0.004919,-0.4024434719183077,0.0001748251748251,1.3121224213686832e-10,0.001224,6.142455482661668,57.2,106700.0,6103240.0,0.004999999999999,57.18,57.17
2007-12-14,DVA,82307,DAVITA INC,,,-0.027448,0.5736954531583767,0.000359518245551,-4.783816561897807e-10,-0.013746,9.666354264292409,55.63,106700.0,5935721.0,0.0100000000000015,55.59,55.57
2007-12-17,DVA,82307,DAVITA INC,,,0.001618,0.7612953267403528,0.0003589375448671,1.5984832863456964e-11,-0.015021,17.025304592314903,55.72,106700.0,5945324.0,0.009999999999998,55.72,55.7
2007-12-18,DVA,82307,DAVITA INC,,,0.022793,-0.0802047781569965,0.0007018775223723,2.3936043999390873e-10,0.00628,15.65979381443299,56.99,106700.0,6080833.0,0.0199999999999995,57.04,57.0
2007-12-19,DVA,82307,DAVITA INC,,,0.002632,-0.4671135316296606,0.000350017500875,5.1732146355745446e-11,-0.001361,8.344892221180881,57.14,106700.0,6096838.0,0.0100000000000015,57.17,57.15
2007-12-20,DVA,82307,DAVITA INC,,,-0.012776,-0.1348831985624438,0.0001772735330614,-2.940213758787358e-10,0.0049,7.219306466729147,56.41,106700.0,6018947.0,0.004999999999999,56.4,56.39
2007-12-21,DVA,82307,DAVITA INC,,,0.006736,-0.3749188627807348,0.0003521746786405,2.463394221519336e-10,0.01667,4.512652296157451,56.79,106700.0,6059493.0,0.009999999999998,56.91,56.89
